_id,app_no,similar,keyword,app_name,download_num,source,link,size,download_url
61b41758bbd348039f1222a8,84,1,天科云,天科云,1万,baidu,/software/26686977.html,61.1MB,http://p.gdown.baidu.com/5941d67ccba7dd4f41499ae27c19b43e69c17789f89c04abbf795180bcac786b52651f73c5d0e634a190be818504505deda62c19fa50bc254349a292d9ca01b6cf819a72feb5909d8e9b6722f41e8cf9d0c0b9824bfd82d7f90c6efb19d5b9430f7e5fe12bf31c4a837dca18c7882d14b8420f96f1a4d67c
61b41758bbd348039f1222c5,92,1,恐龙拼图,恐龙拼图,24万,baidu,/software/30311383.html,135.33MB,http://p.gdown.baidu.com/7bdafa0cc42cc54909a9f3f5d3af5dd716dba032fd4663e8f7bb07e5f18afd75abd4f84a4406dab95635f370571fa3faf6e87779ad408d820d0090527445f6a65429298aea817e5042edf04e36b45ffebe56453f1147e65be3f90108d299bd804c4d5536745ee4ec5c2a0803064402b50a2b79e7701d06913412d84d489d941af6854736efe169c8baf6aaaf6d16534ea96a0ff27f6348efae4679b2c3b50265bdfc148a4d5994dcb42c8a0b617d6b9bc171a5fa055f3d757e0a78fc155e9e026353c943d2c292d252651f73c5d0e634178acdbbba1b67c1ed48d6747f358d072262d9e8b40748f35cefaa15e711460e5c765c85f39efb5464d960020b588d725e24fdf9883b5d4bae2cc2645fcb9f99d1d3e617eb2423826f7e43ca1092394cf200123a2906520281ed5c7a548d8b53
61b41759bbd348039f1222f1,100,1,家在红桥,家在红桥,64,baidu,/software/30614808.html,18.62MB,http://p.gdown.baidu.com/9a71be23f7170e8c7327315f1c5cd0b6e9d23a3c521fb3ee4dd4e14dc8d793106128cc9c08add0d8a4b7823c7e070cc19004d1dc6a2079c14700ab46e0bb83e751fdb74df73a0903d45f119e72ef5f2eb17c760d604b46e6d0c4228caf5de0d3be9f568532bafec990db88a085dea5454560ba3df176b9b3
61b41759bbd348039f1222f8,102,1,短视频美拍秀,美拍,2378万,baidu,/software/30635960.html,84.28MB,http://p.gdown.baidu.com/308ff3c31c9f5c69214d16aa3bdbec68d3187e7ce428ce1e1538926fee90cd00e893d88813b9dcf93fcedc25f11af4789b6b95fc2053deea2db3f2c0705e84775c5e87198a6aa287a053025085eb03e9f2b08309db042766128f21e455b00f534830bd76b189d45dc0dd9ea2208eb74115db465c9b5110ca
61b4175abbd348039f12233c,112,1,创造与魔法,创造与魔法,1063万,baidu,/game/30436245.html,975.17MB,http://signd.bd.duoku.com/service/cloudapk_sign_online/64000/64398/64398_1635244130_GP60031.apk
61b4175abbd348039f12235f,114,1,Gate,NewGate,2万,baidu,/software/25396756.html,22.78MB,http://p.gdown.baidu.com/3a6051a135bbcfa41369d5be720cdb12ebec8c04c0f89e351538926fee90cd005be0d14967d1a93f8546bcf35fcfc264ff7db377535df23d89d1c6eb2f806ee502437e602a8cf9c761206a248b1f9fb0c49bb57ffdc1a21761d77235c88d74233b936ab733328353
61b4175cbbd348039f1223df,135,1,特优生,特优生培优,2万,baidu,/software/26711529.html,59.2MB,http://p.gdown.baidu.com/dac98af0b95a3cb0edbdbbd77ca2fa54836fea1033227407d0f20843021162d0cbc9c7225880f452bef64ee131aac58f7bec888ba5bdf09ad009fe8adef52578f748be886ca4bed0c0e1f4edb7ef56f7a3126e8b2c21aaf0a7e1e7c085ab12a124aded2087e59843e4e774bc16fa5505d98c93dfe542f1bd6cb784382842c710e6fb4aa419884e25873e6c6a5ce12a96045f1b91c1173233f209a539e1972209ce351dc41b1c0b315e6a334a940faea8dd97c79f7f1daa6936ca934848549c6c9d0836449f5c61dc27a62feeba5ea423d8f22167815cd5d56c9405fc7ed17646e4345329220b754c8bfff40f271403ee4dd4e14dc8d79310798b24da0ba5eedb0b706eb1906ae4d01a5f0af6dbc32f2fcb089ffb36aca4e2dc2d35a29d0df2020a1468f01925ad852855f1d4512995076acfb18696e2af9ecc3df0e3b716b496f7298ecc24026ed0
61b4175cbbd348039f1223dd,136,1,小聪提醒,小聪提醒,6万,baidu,/software/25532990.html,25.4MB,http://p.gdown.baidu.com/365be46ec4cb60812ed33544bd8be6d361c99e1f89ee1da9804623bb98041b4b49939a182d42bb6ed3fd9080c0de3bd6c1250aa4f4faf971dbd41f00d597c46f572b89c10cbee5f6415960f3e44da2bd763b7bcdf7bc724df9a4e764a7d7dd38e1d0453776b9a46fc6d3bae59631ec8b9345985721440680d96e2263d292d3f0dfc4ed4d4665f2f1
61b4175ebbd348039f12241a,153,1,烈焰遮天,烈焰遮天,1601,baidu,/software/7046627.html,72.69MB,http://p.gdown.baidu.com/230e27451ca60a0f79b42733e7e4f02dbd470e584c72ebdeb5401c2af47a4c71a118cbd4c94ce770830b89d93a9ef8928d329b373972afeae536b903d1458d0c52651f73c5d0e634188b99cf1b8a5dbec713d2ae2ca6b46dd5e34604e256ee7a58c0c09d36cb0fea524730773b9bfb9403de96d747d6fef7e080ae412d8fd1965259b32f77631dc413ee2975e62f906f333e54f642c8b58d
61b4175fbbd348039f12245b,161,1,警匪杀,警匪杀,9124,baidu,/software/28506517.html,135.84MB,http://p.gdown.baidu.com/157d6446bc9d27fadd4778303de34a492e8d6852796f543cf4e0d0ebd7655f655ed48abdb9191def02c55ac3f6c0fb881565b0165594922a1b5bd0f3b824ba8995deffbcbd23910b2b650467f4f434418ad767cbb8de441bfedd8941efdf355e43a0c5d7c3764f0ecd230ca72f4d0c70ce5117ae4a96d57ad18b776c7be4866443f468e7fc6a155a4d5bc8a1bf938f555f737dbdef1bd8b1d6b0d6417d7a40b1076e0630ab8692769f5e009b860e698fa89c93eb16f585e4838cda5d5e8bc69ce7c9ab629d8bbd6e649daf5c6bde5a04ed3b9359be93ca637dfd1656d64d42e68d784d68e61fe5552c3fc6e0534d91cd023d2398cddc4c95c1250aa4f4faf971e7bf05f0b0b1ddecfa680b9c5b7e4f1bcc93f7110d837cb769bec4362adb33428375c8dc053e3432c136d68757e8db05148a7ac1601113fddce46d590bd1de47151aec89ac0f3519257e54cf511dfd130090a8b2c01e8d75b8420f96f1a4d67c
61b4175fbbd348039f12246e,167,1,众搏人才网,众搏人才网,1万,baidu,/software/30128151.html,41.9MB,http://p.gdown.baidu.com/483a013397027fea241e9a72749f7b0efbb356063f67740fc5b5ba0c488daf879930e6731850d3978d3f1ddd936f0e3f55747ed58df57697141cf0cf4368df61b746cba9e0ef7977f60f1e4e6c33abdeeff01c8c84db4c4c2b11865c57b91ea0d9bfd4804202962989506be79106498888da311fa0ec93db1f4b75ec7c47ff45f526cb9800f10ec3a53bac8d1d26592324594411d461b54b9001e48946b2f7ee
61b41766bbd348039f1224a3,179,1,油烟监测,油烟监测,50,baidu,/software/30623985.html,19.59MB,http://p.gdown.baidu.com/46e86df17abc38e996723a24510ac6f879d3cdd85b1834610dcd3973b8f6ccb41df0972a3c6b31fccf8c0216a78a48b584da2f5676c97689f0a655b7569eb9ea216b0cec84ac6e40c134177945a708459b3c5496e2def59b32682b5e88ef4a6b84f7724e27161bb95e944034fa0b79948ea6ff3ea9c09a811cc57f6257bdd07af450ff827f1ce1355b7b9b21e58b1e42c48bc30f745f07b3a6b431bc6580ac717a81821d9a8a3f43371d615520ff1d0d5c941279f8fb3864ec1574b21494ba6e93ce2955a1369d77ba9b0ea4941c140a1513d9990b83d8721e73d23117cda5294db52ffbb15eea9bf887a5586e562ade8f17af3127589d5e68e7c69610fc9870141cf0cf4368df616b291a2c680aa0540df82d25c53972d7360d51a369269a6dda4194c25e9713bb77c944d7dea77b7e1953a4d8531ac9c2dd0fcc47861146a666c89498382c48bfc2ef8ec5d0af0409e0a60dd480b2a8bdb1c593bfa8158853a4d30e89bdc43d8a
61b4178abbd348039f12253c,209,1,决战沙城,决战沙城,14万,baidu,/game/7217124.html,106.05MB,http://p.gdown.baidu.com/a5f283f4238a8a8f2661a251d43fe57fa49f5c493d5af177b2960e6ad2d84e873efdb544a3ab0dbb9099dcc004209cfabb3a4b3f21af1c682f3b85167fe8c99ef2b86943c52bcfff387c826689afb26e32e36e1e2b7b1d2a5e8413b59ee99b757b20a7c9d48cac0144029006182b33c013809f8c37646b6bc09778b7225b27276195c214e7104587e08750908d424c9fc8418e9520c32595d809bffb6585b71e742b76c63ededddb0c090efe5fb20007bfa3468d88b1645603fc0c57bdcd15f4d2b0c644f4eab9ad
61b417a4bbd348039f1225a2,230,1,健康答人,健康答人,50,baidu,/software/30301518.html,13.79MB,http://p.gdown.baidu.com/3d5a0fc9d7dd8e8919a52f92150e61208b32bfb1c454e3cf272fc525eb4613be2ffd41e5b086016b44452ab85983057682b65b6e23f66bf28103a947ff0485211939da17db5039cc5f9c80b0277ba0ee1d3295b40347c07f99877749c6db0d578c5f5a323a638ffc9c8e733fbe625c367fc3b40e585df9ac4deca1047543ccaaaeac4efd7ee39685d2efb0794ef8acaa217e879e6b37170f84b85978ce17ecaa2597875159b76f8bbb18d7e6364171f1c58f29b5df2eeb112ac01969bd8b07c5a2297f4fa424a0a7f4355f7fcf65dde3574f3c17910993ebe47d91e0a6dd03e8fc25044d61d0a1d90300c60cf7dac853fbde7ed1b2fff5ec6ce24955cd4119b613e3cbd65e797090e85ffbddbaf99ab57d118c9a9f745192
61b417a7bbd348039f1225ac,232,1,搜狐视频官方手机版,搜狐视频,2366万,baidu,/software/30700658.html,103.09MB,http://p.gdown.baidu.com/287e262b412c288ba25c8f320c45fa13efe3b1f9c7f0248dbf73b1dc3d7439556f00a27b90199c8a4d58e77281ae2273d58b9e81a1040e707943c660ecdfac68b1c9e4c7aa99a57fffa319329f3eba72e2f42f00ac6b4a1def374c4440476c361affaac384a1b94730ea5af2bc215631a5b81b75c90fe4eff5e915689842838f2f87dddca6590ea7ae84be0216ebc39e3ec0949f5da29f20143f4d64f350cc994e0b813c3cb7158462d3044c250005bca7b0d82a264afea46d77436f9535c41dccf87dc9155cffef1ec3a3fd0bfafbce7afba25e6fb08da101af67bda0f69aebf79827017b4024398a2e8bff47a19e44277040bfb896445c13809f8c37646b6b3eb166779c895fc3770ce1fd40e297a52e231ba28aa455224959c605f2f788ff59e6b2ab5a0fb2b5185b24d48b30ac8971ef899d322350dc3b254d899ef04b614596e676ded87b74133e7c898838669dade186096ed6d97eb289d7375c1c3f65
61b417b2bbd348039f1225cd,241,1,飞卢小说,飞卢小说,1525万,baidu,/software/30457916.html,44.17MB,http://p.gdown.baidu.com/128b7adf89e8bf5e8befc4418208341830a4f8a334a0b1c9f68cfb1b2c6d6b309ec29eeb0c4fdce40e3c2f97c4bf5349d8e54b5ba997e5e778ce77e8ec1e070513809f8c37646b6b7c1e762fca967e121f91b9d234058b984fe157d428e5f9399acfe6d90ed62882e3ead288355ef3a576379ea4bfa886416445cfc892836c6107fa36f8a446621bc2f02b9b8a199a4800fbe088fb7cf760d360410e27149231032e036a563bcae8
61b417b6bbd348039f1225ec,244,1,完美工事,完美工事,143万,baidu,/software/27163532.html,84.31MB,http://p.gdown.baidu.com/af8d3862d7ead7af255406d8c0ccffa2460f10b28328547b79edf4a2fcbd59f7ef4e761df768a50c0507df1e2eb117f5c58f29b5df2eeb112ac01969bd8b07c567976db575ad92e8d07fe900cbd4cc4968efcf501d33e676aa77b4c5f60a68cd3f7e7342fcad770bad9a4834a448a88d68f81bd43fb08ff85d5194c62af7c856bb1d2f05631e2532dd3e103985e0362302dbd79bb9f884aa
61b417bbbbd348039f122611,248,1,美物酱,美物酱,8829,baidu,/software/30397348.html,13.81MB,http://p.gdown.baidu.com/08a766bbbf2bbd15e88e2720d1bb549af334422d3b8f7e8a57386b2f93ef37c02fbf8a517452301ed8dc76e0ac998f7d2044907ae55d7205ad9fa1e0ca0a3f569377a918c84df64d1538926fee90cd0006fb69aa72873b96309ef6c18e722db2a5f5943f5a23b9417dc87637ca2333ae568ef97e29d6134295fe06515db2d9284864919f20ad4ad1a1bc1403b14f18dd4f5cce08370b315f4c633278aa4988330892d4a3e322494e
61b417cebbd348039f122664,264,1,魔卫卡,魔卫卡,1万,baidu,/software/23246608.html,18.43MB,http://p.gdown.baidu.com/6dbabc35f962b88a30bf76cf070e391fa7568a15cfdad9f1db3dd2be5ac4c2ba53da2219b5b1706202ceb75cd327e6c2b704ad97692dd002aa05715acb557ffc540784b2bd66e2faf86e59137494ec43b897602f3c763ec45c69bb3aa2fe14b021cc0ce4e508926ff40785f7445367b98e9a2801e4b3ea7737d2eaad675a590c94960cfe7f4a1ee102fd1ca64da7e5c5788f22d7a1e3b5bbc1250aa4f4faf971519af34c548caafb237a5d1921328a30b8d00bcd6f1795a35e4fd9f1985d31a8a9e66e543801781b78b22e024bbc6155e20a9a7d178c19006dd4e95e6df0bfddb94c07063d64f060
61b417f0bbd348039f1226f3,292,1,好买集市,好买集市,6594,baidu,/software/26950311.html,20.21MB,http://p.gdown.baidu.com/f614f54d6bc6f93a0308ccabf2a3c94ffcfca05902320c35947faca6da67145840d5cec8fa4fd4b89913fb688a4f1d5410aeadfd2ce294e921735a1e12e0f638483b0c7484054e1a47ae630c4e7b5b64a832921dc38baaece9c1b1787695e8b2e1272c8d3e878c677731215916f8be85cd66026e0dd8845a895ee70ccc27b6eba44ab285425903666facff168c57f4d53fe5efeb47a6a415b251c47deb13932fa7e34704d1f838d0c6e5436aca77ec371dabb1bcd010e255c80758e77f1438f976fb29b4452e50802a3a5bab521bb55a6254b20ecc8ca65b8438b5ae8e177c2176ec8de1e221abd67b68d0df4466d01d0228996cc39e219b4dd4e14dc8d79310d9032821bccf2694da855dd93c6214f2e41626e1d6adf270371702a219c4d4a78882bf1738ee99394327f12d62d046d304cb26a4560f48dd6b9e08368cb92f46c387bcebb2c2231738eebd68899365dde8d6dd4b46979b16
61b417f3bbd348039f122705,295,1,11代驾司机端,代驾司机端,32万,baidu,/software/29901461.html,18.96MB,http://p.gdown.baidu.com/6bb3b7c87424bff7b749cc78a5f38c9420a1e211966dfbab23657bf77e41a8b8afe311ae7bd1e4fbf1e341b9c60bdfefadb2f8b73b91c9dd43ee52e812defb7c9cd3a43c7ce324384d74920f9ecd6e609f580cd024e8885ddfba8f12e813ecbc51436c427b539c00dc9096a9c22ed2e3d8e2d0fe8bfef886bdc38fb4770beabac1250aa4f4faf971e1eba2c9e37b4cd2e04fccb0beee4c7920b6c52df3ac74965762dcf1a0deb5146926d0e1c87b6707b56d94c7f3d89967595ecc52d9e5545930d2de11724660812810ac5b8f0cf3428be6d8ab9e00f33f641f2cc211f6b8bab8420f96f1a4d67c
61b41806bbd348039f122753,312,1,遇见,遇见星球,50,baidu,/software/30223523.html,140.26MB,http://p.gdown.baidu.com/b1e3eb90f05a3cf5c5a498c661c200e76107c9595f9c27f7bace7b17793c35a1d6cb451ae52a5f1e32325ca0b97ef8e171cee501db79919e95e6b839b773f84e86788e178993aea4548753e538f175436092efcb933bc9b63f37aab7343745d1ca4cd0fd60deff524d91c9a47c968ff971239a9de788c840608a575b2296f822141cf0cf4368df61ed67e9eee012ac87dfdae3fc651719abffbdb4f1d97c32b28aafa485bc3c4d1fbf89c64e54bf7e5e15c4e4ca0ac74f66ca8542743b06416f2f2157138dd4e38905037b7175ebd470c80e96b6adc9eeb99b466600a4228aa19001e48946b2f7ee
61b4181fbbd348039f1227b6,333,1,多彩经纪助手,多彩经纪助手,929,baidu,/software/11707582.html,21.25MB,http://p.gdown.baidu.com/6cfe98bd1f59cea1c1bdbf1d9cb18dcf34aa9f8c3b656d95eadb7835c71ecba87cab158859418a80b5dbcbaea5ab652413447283af351675747f8d8b06be54f7a38c490ea18c93c64f031b2b26d742cadfbc426e88ab10b8d709f7ffefafc437873716d0154f23f7e34d730c104cc996143db6faba921b1dea074356c7aba9a408443b18ed1d4b5c014177967814ddc22b450b65ab2254b020843855545dd3ed4bac54215b001d67a2dae448eb01d79d167dfe2113e659cee7395825e9ae70476db2b91a81a1fbc64dd4e14dc8d79310759573c3941292c10d68a975556bf5b8de7bc635c0d288bdc5842271fb5eb69fda8461f228eb483ea2262577cffd0d7f58eea3d2fef9059baa9767ea39e8b0ef9bb7d70c603628ad03b1aa0db50d4c46
61b41821bbd348039f1227bb,334,1,魔王村长和杂货店,魔王村长和杂货店,2万,baidu,/game/25908048.html,69.03MB,http://p.gdown.baidu.com/04761d90ff814519658139ae44d0f2bbe4884cd95ecfdcba9a7664ea40817fc13900fd5295fdf5a77dc0758ff19038cc64b2f15ec209ef4ac78f74e1e47c5b416332dcbab191f73053d0b1564b7954b05265f13a75243776db3e414a5c118a110281090317c8719bd42ca7640f8fc08398fce59e82d0aaf2186d59fe5fe0a362b2b44b79d557513204434525de44e34b4475ca3d9e266e18b424bff258633bf20b8d3a1fbeafa23527d177a1ad6e16bafed0ed65cdd8916044a65e0860d3a30d201c9994be21b0c876b31257e10230eb32e6d48bc55d3924c1e04e4d61753eca79cd21493fef36f33a15c717c75a5de0b84e6cea46a47f5391d30dcaeb13bfcc52651f73c5d0e634ada095598eb6173dd1e48b275d198c2049836d01df6f4c9ca83dee842d26fb05ec8c3ed80934b7b45d55feebf79262d05584897cd9e9016f36c3c4d76a8a077f68f68c976a060b7f1faea8f6e6cbde050817c56d63cfad9f
61b4182cbbd348039f1227ec,344,1,外卖粉丝团,外卖粉丝团,50,baidu,/software/29912268.html,22.85MB,http://p.gdown.baidu.com/2f43f66f3df336cbfd35c830b6b6c19d8e7df12d7dcdbddcd3121e25513aba7cd3c5a4c596c3f56ccf30188b20cb06eff665fe37a5e08c0ce723e41b2dbe6233d97e39f8fab182be8a33073f0dbb870c22bbb5c8e2f3cb2f0e50131d8fedab3ddeb1246aec41d8a0c7bd0ee1b0632c234b7cbb6476a178dd00c959e4d8bba109716bd6ee31d4f302fb112d11c01634b6b2c4950a11ce48df2bf1c66a6cda7c42056072fdd697ed945c6366d4243c8bc63ec0657d39df3ca4141cf0cf4368df61f04489368aa24bec755ebc24ab3f0c9353db2de95f3be6a2352c522b313144850c14708297e8afe8d9766ade0a537d60a6074f49d51925d231e0af6a2f246c88c18974faa979a6dd3ed77d4ad99f5bb2ec4c2985a10b3b3fa13660aba0be6f15
61b41833bbd348039f12280d,350,1.0,拳皇97ol,拳皇97OL,653万,baidu,/game/30139738.html,360.64MB,http://signd.bd.duoku.com/service/cloudapk_sign_online/63000/63903/63903_1631515182_GP60031.apk
